nome,sigla,sigla_superior,unidade_organizacional,total_servidores
COORDENAÇÃO DE CONTROLE ACADÊMICO - CATOLÉ DO ROCHA,CCA-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DE ORÇAMENTO E PLANEJAMENTO - CAMPUS CATOLÉ DO ROCHA,COPLAN-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DE GESTÃO DE PESSOAS - CATOLÉ DO ROCHA,CGP-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO DO CURSO DE EDIFICAÇÕES - CATOLÉ DO ROCHA,COEDIF-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
COORDENAÇÃO GESTORA SETORIAL SCDP - CATOLÉ DO ROCHA,COGSS-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
"COORDENAÇÃO DE PESQUISA, INOVAÇÃO E ESTÁGIO - CAMPUS CATOLÉ DO ROCHA",COPIE-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,1
Coordenação do Curso Técnico em Química - Campus Cabedelo,CTQUIM-CB,DDE-CB,CAMPUS CABEDELO,9
Coordenação do Curso Técnico em Multimídia - Campus Cabedelo,CTMULT-CB,DDE-CB,CAMPUS CABEDELO,2
CAMPUS ITAPORANGA,CAMPUS-IP,REITORIA,CAMPUS ITAPORANGA,44
DIRETORIA GERAL - CAMPUS ITAPORANGA,DG-IP,CAMPUS-IP,CAMPUS ITAPORANGA,44
"DIRETORIA DE ADMINISTRAÇÃO, PLANEJAMENTO E FINANÇAS - CAMPUS ITAPORANGA",DAPF-IP,DG-IP,CAMPUS ITAPORANGA,7
DIRETORIA DE DESENVOLVIMENTO E ENSINO - CAMPUS ITAPORANGA,DDE-IP,DG-IP,CAMPUS ITAPORANGA,32
COORDENACAO DO CURSO TÉCNICO INTEGRADO EM EDIFICAÇÕES - CAMPUS ITAPORANGA,CCTE-IP,DDE-IP,CAMPUS ITAPORANGA,3
COORDENAÇÃO PEDAGÓGICA - CAMPUS  ITAPORANGA,COPED-IP,DDE-IP,CAMPUS ITAPORANGA,2
COORDENACAO DE PESQUISA E EXTENSAO - CAMPUS ITAPORANGA,CPEXITP-IP,DDE-IP,CAMPUS ITAPORANGA,1
COORDENAÇÃO DE DESENVOLVIMENTO E ENSINO - IP,CDDE-IP,DDE-IP,CAMPUS ITAPORANGA,9
COORDENACAO DE ALMOXARIFADO E PATRIMONIO - CAMPUS ITAPORANGA,COAP-IP,DAPF-IP,CAMPUS ITAPORANGA,2
CURSO TÉCNICO EM EDIFICAÇÕES DO CAMPUS MONTEIRO,CTEDIF-MT,DDE-MT,CAMPUS MONTEIRO,2
COORDENAÇÃO DE ÁREA DE INFORMÁTICA - CAMPUS CAMPINA GRANDE,COAIN-CG,DDE-CG,CAMPUS CAMPINA GRANDE,32
COORDENAÇÃO CURSO TÉCNICO INTEGRADO DE INFORMÁTICA - CAMPUS SANTA RITA,CINF-SR,DDE-SR,CAMPUS SANTA RITA,5
COORDENAÇÃO DE CONTROLE E EXPEDIÇÃO DE DIÁRIAS - CAMPUS ESPERANÇA,CCED-ES,DAPF-ES,CAMPUS ESPERANÇA,2
COORDENAÇÃO DE ESTÁGIO - CAMPUS ESPERANÇA,CE-ES,DDE-ES,CAMPUS ESPERANÇA,1
COORDENAÇÃO PEDAGÓGICA E DE APOIO AO ESTUDANTE - CAMPUS ESPERANÇA,COPAE-ES,DDE-ES,CAMPUS ESPERANÇA,4
COORDENAÇÃO CURSO TÉCNICO EM GUIA DE TURISMO - CAMPUS CABEDELO CENTRO,CTGT-CC,DCACC-RE,REITORIA,1
COORDENAÇÃO DE CONTROLE ACADÊMICO - CAMPUS ESPERANÇA,CCA-ES,DDE-ES,CAMPUS ESPERANÇA,1
GABINETE MÉDICO ODONTOLÓGICO - CAMPUS CABEDELO,GABMED-CB,DDE-CB,CAMPUS CABEDELO,2
GABINETE MÉDICO - CAMPUS PATOS,GABM-PT,DDE-PT,CAMPUS PATOS,2
COORDENAÇÃO EXECUTIVA DE LEGISLAÇÃO E ADMINISTRAÇÃO DE PESSOAL,CLAP-RE,DLAP-RE,REITORIA,3
COORDENAÇÃO DE LABORATÓRIOS - CAMPUS PATOS,COLAB-PT,DDE-PT,CAMPUS PATOS,10
COORDENAÇÃO COMPRAS LICITAÇÕES - CAMPUS PATOS,COLIC-PT,DAPF-PT,CAMPUS PATOS,3
Coordenação do Curso Tecnico Integrado em Edificações - Campus Campina Grande,CTIED-CG,DDE-CG,CAMPUS CAMPINA GRANDE,2
COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL - CAMPUS CATOLÉ DO ROCHA,CAEST-CR,DDE-CR,CAMPUS CATOLÉ DO ROCHA,2
NAPNE - NÚCLEO DE ASSISTÊNCIA ÀS PESSOAS COM NECESSIDADES ESPECÍFICAS - CÂMPUS PATOS,NAPNE-PT,DDE-PT,CAMPUS PATOS,3
COORDENACAO PEDAGOGICA E ASSISTENCIA ESTUDANTIL - CAMPUS CABEDELO CENTRO,COPAE-CC-RE,DCACC-RE,REITORIA,4
COORDENAÇÃO DE GESTÃO DE PESSOAS - CAMPUS ITAPORANGA,CGP-IP,DG-IP,CAMPUS ITAPORANGA,1
COORDENAÇÃO DE PROTOCOLO - CAMPUS CATOLÉ DO ROCHA,PROTOCOLO-CR,DAPF-CR,CAMPUS CATOLÉ DO ROCHA,1
Coordenação do Curso Técnico em Transações Imobiliárias - Campus Cabedelo Centro,CCTTI-CC,DCACC-RE,REITORIA,2
Coordenação do Curso de Especialização em Gestão Ambiental de Municípios - Campus Princesa Isabel,CGAM-PI,DDE-PI,CAMPUS PRINCESA ISABEL,5
COORDENAÇÃO DE COMPETIÇÕES ACADÊMICAS - CAMPUS JOÃO PESSOA,COCA-JP,DIPPED-JP,CAMPUS JOÃO PESSOA,1
Mestrado Profissional em Educação Profissional e Tecnológica - Campus João Pessoa,PROFEPT-JP,UA4-JP,CAMPUS JOÃO PESSOA,1
COORDENACAO DE APOIO A SISTEMAS INFORMATIZADOS-RE,CASI-RE,DGTI-RE,REITORIA,4
COORDENAÇÃO DO CURSO TÉCNICO EM RESTAURANTE E BAR,CCTRB-AR,DCAAREIA-RE,REITORIA,2
COORDENAÇÃO DE COMPRAS E LICITAÇÕES - CAMPUS ESPERANÇA,CCL-ES,DAPF-ES,CAMPUS ESPERANÇA,2
COORD CURSO TÉC. INFORMÁTICA INTEGRADO AO ENSINO MÉDIO - CAMPUS JOÃO PESSOA,CCTI-JP,UA2-JP,CAMPUS JOÃO PESSOA,1
COORDENAÇÃO DE PLANEJAMENTO - CAMPUS JOÃO PESSOA,COPLAN-JP,DG-JP,CAMPUS JOÃO PESSOA,3
COMISSÃO DE ÉTICA NO USO DE ANIMAIS - CAMPUS SOUSA,CEUA-SS,DES-SS,CAMPUS SOUSA,2
